"time","Litter","CWD","Organic","DOM","MIC","P","L","A","M","B","Detritivore","Predator","Scenario","Run","Run2","PARS","YSTABLE"
"42","75.9361796064316","327.985002223621","649.048810383522","3.36548802958742","0.124650249393007","91.5932055634752","4.73661314303927","260.118678100182","772.457098817789","7.08134136065864","0.148511866429264","0.104358253912493","Full","23909013","836106",NA,NA
"43","75.1189993240566","328.317436414083","650.00595066065","3.34652113340579","0.12427177420819","91.8430788601981","4.69395091415783","260.208689754751","772.442089440984","7.05098518799034","0.148533526798067","0.104358035617661","Full","23909013","836106",NA,NA
"44","74.3105184195308","328.648419114221","650.951124922491","3.33058960664328","0.123897462228995","92.0896507193245","4.65285371121315","260.301081284155","772.425647027783","7.02201610342454","0.148555250058754","0.104357825422424","Full","23909013","836106",NA,NA
"45","73.5106517561437","328.977890547278","651.884311272043","3.31759351732816","0.123527413835272","92.3328452091858","4.61333246674128","260.395831033998","772.407834251661","6.99444259251603","0.148577034303404","0.104357623345273","Full","23909013","836106",NA,NA
"46","72.7193134438537","329.305790663874","652.805486255003","3.3074399391056","0.123161725278718","92.5725854663267","4.57539629780023","260.492914202413","772.388716318125","6.96827137489441","0.148598877563878","0.104357429403978","Full","23909013","836106",NA,NA
"47","71.9364170305909","329.632059090021","653.714624757417","3.30004245328856","0.122800488942767","92.8087938191473","4.53905232285848","260.592302729019","772.368360825845","6.94350768166516","0.148620777810576","0.104357243615566","Full","23909013","836106",NA,NA
"48","71.1618756745149","329.956635075721","654.611699905896","3.29532069794712","0.122443793583178","93.0413918991343","4.50430550970684","260.693965202578","772.346837628152","6.92015549049168","0.148642732951208","0.104357065996296","Full","23909013","836106",NA,NA
"49","70.3956022981827","330.2794574445","655.496682971086","3.29319996994464","0.122091724545005","93.2703007392028","4.47115853152379","260.797866786948","772.324218695613","6.89821772474099","0.148664740829608","0.104356896561642","Full","23909013","836106",NA,NA
"50","69.637509728697","330.600464543102","656.369543272959","3.29361086827349","0.121744363961076","93.4954408613165","4.43961162660109","260.903969163641","772.300577975972","6.87769642459971","0.148686799224552","0.104356735326262","Full","23909013","836106",NA,NA
"51","68.8875108138165","330.919594195895","657.230248096193","3.29648900051704","0.121401790918399","93.7167323465864","4.40966248463096","261.012230494462","772.275991263539","6.85859287670363","0.148708905848689","0.104356582303983","Full","23909013","836106",NA,NA
"52","68.1455185465209","331.236783652229","658.07876259374","3.30177466968346","0.121064081638205","93.9340949072549","4.38130613058371","261.122605392564","772.250536044056","6.84090774018124","0.14873105834728","0.104356437507769","Full","23909013","836106",NA,NA
"53","67.4114461515567","331.551969545187","658.915049712797","3.30941265831117","0.120731309602913","94.1474479318516","4.35453485447848","261.235044917854","772.224291366646","6.82464111653582","0.148753254297187","0.104356300949699","Full","23909013","836106",NA,NA
"54","66.6852071709087","331.865087848271","659.739070117889","3.31935201076256","0.120403545684933","94.3567105263961","4.32933815765411","261.349496583239","772.197337703525","6.80979260759595","0.148775491205776","0.104356172640947","Full","23909013","836106",NA,NA
"55","65.9667155441598","332.176073832118","660.550782115014","3.33154582529312","0.120080858270385","94.5618015489364","4.305702720745","261.465904372609","772.169756803372","6.79636135672081","0.148797766509777","0.104356052591748","Full","23909013","836106",NA,NA
"56","65.2558856746492","332.484862025074","661.350141583961","3.34595108102344","0.119763313363529","94.7626396317182","4.28361239549095","261.584208773643","772.141631548995","6.7843460646907","0.148820077574192","0.10435594081138","Full","23909013","836106",NA,NA
"57","64.5526324881772","332.79138617565","662.137101914955","3.36252847772486","0.119450974683737","94.9591431956646","4.26304822208704","261.704346822271","772.113045812835","6.77374498885115","0.148842421691193","0.104355837308134","Full","23909013","836106",NA,NA
"58","63.8568714844204","333.095579217196","662.911613950259","3.38124228906088","0.119143903754644","95.1512304574451","4.24398846851439","261.826252158265","772.084084311212","6.76455592698496","0.148864796079021","0.104355742089288","Full","23909013","836106",NA,NA
"59","63.1685187816942","333.397373234949","663.673625930975","3.40206022752287","0.11884215998646","95.3388194299161","4.22640868892092","261.94985509116","772.054832457501","6.75677618819114","0.14888719788087","0.10435565516108","Full","23909013","836106",NA,NA
"60","62.4874911557605","333.69669943558","664.42308344921","3.42495331860985","0.118545800752873","95.5218279168333","4.2102818000811","262.075082675698","772.025376214388","6.75040255253627","0.148909624163779","0.104355576528683","Full","23909013","836106",NA,NA
"61","61.8137060733207","333.993488119317","665.159929405758","3.44989578270462","0.118254881463598","95.7001735027647","4.19557817263092","262.201858795981","771.995801945317","6.7454312215782","0.148932071917509","0.104355506196174","Full","23909013","836106",NA,NA
"62","61.1470817207785","334.287668654771","665.884103973475","3.47686492311082","0.117969455633681","95.87377353916","4.18226573434383","262.330104257566","771.966196265352","6.74185776158077","0.148954538053425","0.104355444166507","Full","23909013","836106",NA,NA
"63","60.4875370288024","334.579169456532","666.595544566472","3.50584101898266","0.117689574950617","96.0425451275584","4.17031008251544","262.459736886737","771.93664589163","6.73967704111494","0.148977019403366","0.104355390441486","Full","23909013","836106",NA,NA
"64","59.8349916931722","334.86791796566","667.294185815318","3.53680722209441","0.117415289340281","96.2064051009348","4.15967460235832","262.590671636218","771.90723749364","6.73888316464902","0.148999512718517","0.104355345021736","Full","23909013","836106",NA,NA
"65","59.1893661923468","335.153840633141","667.979959548394","3.56974945657237","0.117146647032651","96.3652700042033","4.15032058839492","262.722820696638","771.878057543581","6.73946940356248","0.149022014668284","0.10435530790667","Full","23909013","836106",NA,NA
"66","58.5505818021465","335.436862906417","668.652794779575","3.60465632087774","0.116883694628278","96.5190560749033","4.14220736588331","262.856093613063","771.849192167022","6.74142812588245","0.14904452183916","0.104355279094465","Full","23909013","836106",NA,NA
"67","57.9185606079383","335.716909219065","669.312617702402","3.64151899117935","0.116626477166658","96.6676792250617","4.13529240978407","262.990397406362","771.8207269937","6.74475072568084","0.1490670307336","0.104355258582028","Full","23909013","836106",NA,NA
"68","57.2932255144405","335.993902983843","669.95935169088","3.68033112769927","0.11637503819589","96.8110550255932","4.12953145623438","263.125636696113","771.792747011845","6.74942755461274","0.149089537768919","0.104355246364967","Full","23909013","836106",NA,NA
"69","56.6745002540662","336.267766588843","670.592917307402","3.72108877696771","0.11612941984972","96.9490986932964","4.12487861179638","263.261713833562","771.765336415774","6.75544785156774","0.149112039276138","0.104355242437558","Full","23909013","836106",NA,NA
"70","56.0623093930326","336.538421397311","671.213232316973","3.76379028192346","0.115889662923266","97.081725083104","4.12128644464224","263.39852902753","771.73857846597","6.76279967993254","0.149134531498926","0.104355246792717","Full","23909013","836106",NA,NA
"71","55.456578336166","336.805787751075","671.820211709203","3.80843618949654","0.115655806956497","97.2088486854289","4.11870606749202","263.535980476622","771.712555346527","6.77146986569297","0.149157010592524","0.104355259421969","Full","23909013","836106",NA,NA
"72","54.8572333149776","337.069784996127","672.413767778431","3.85502911718517","0.11542789034623","97.3303836357457","4.11708723676572","263.6739645403","771.687348044776","6.78144396187167","0.149179472624356","0.104355280315437","Full","23909013","836106",NA,NA
"73","54.2642014711481","337.330331397722","672.99380990255","3.90357385203239","0.115205950343537","97.4462436929031","4.11637828070281","263.812375712209","771.663036078232","6.79270606320948","0.149201913564294","0.104355309461676","Full","23909013","836106",NA,NA
"74","53.6774107183229","337.587344320765","673.560245035091","3.95407692333089","0.114990023334692","97.5563423170919","4.11652636806365","263.951107042137","771.639697584233","6.80523897907552","0.149224329298621","0.104355346847881","Full","23909013","836106",NA,NA
"75","53.0967898471711","337.840740124124","674.112977422375","4.00654676454652","0.114780144818555","97.6605926545722","4.11747736569085","264.090050055488","771.617409022987","6.81902402107434","0.149246715617941","0.104355392459669","Full","23909013","836106",NA,NA
"76","52.5222684826925","338.090434234721","674.651908803385","4.06099352473614","0.114576349582573","97.7589075945011","4.11917588890291","264.229094983896","771.596245113049","6.83404103223079","0.149269068220872","0.10435544628113","Full","23909013","836106",NA,NA
"77","51.9537771088868","338.336341144604","675.176938399087","4.117429032627","0.114378671806374","97.8511998097755","4.12156527179137","264.368130854561","771.576278659948","6.85026830489187","0.149291382710434","0.104355508294741","Full","23909013","836106",NA,NA
"78","51.3912470573756","338.57837445432","675.687963023729","4.1758666764276","0.114187145219704","97.9373818245881","4.12458758882784","264.507045650919","771.557580447361","6.867682557347","0.149313654594322","0.104355578481357","Full","23909013","836106",NA,NA
"79","50.8346105065036","338.816446907805","676.184877170212","4.23632131623136","0.11400180325509","98.0173660907888","4.12818361741195","264.645726451629","771.540219113787","6.88625890274405","0.149335879284082","0.104355656820172","Full","23909013","836106",NA,NA
"80","50.2838004801435","339.050470431575","676.6675731041","4.29880919573809","0.11382267921206","98.091065078387","4.13229279880438","264.784059569379","771.524261032462","6.90597081903533","0.149358052094326","0.104355743288687","Full","23909013","836106",NA,NA
"81","49.7387508462713","339.280356178308","677.135940966387","4.36334785434952","0.113649806432566","98.1583913810344","4.1368531966368","264.921930689438","771.509770194656","6.92679012021447","0.149380168242022","0.104355837862673","Full","23909013","836106",NA,NA
"82","49.1993963153628","339.506014574855","677.58986888508","4.4299560403196","0.113483218487137","98.21925783743","4.14180145234149","265.059225007892","771.49680809631","6.94868692940014","0.149402222845826","0.10435594051614","Full","23909013","836106",NA,NA
"83","48.6656724386456","339.727355374726","678.02924309572","4.49865362494758","0.113322949371383","98.2735776694581","4.14707274236692","265.19582736958","771.48543362807","6.97162965297988","0.149424210925501","0.104356051221294","Full","23909013","836106",NA,NA
"84","48.1375156062408","339.944287715107","678.453948070885","4.56946151789444","0.113169033712095","98.3212646378559","4.1526007418295","265.331622405746","771.475702968715","6.99558495521694","0.149446127401388","0.10435616994851","Full","23909013","836106",NA,NA
"85","47.6148630452158","340.156720178436","678.863866658747","4.64240158369826","0.113021506981876","98.3622332161852","4.15831759960604","265.466494671473","771.46766948197","7.0205177327754","0.14946796709397","0.104356296666291","Full","23909013","836106",NA,NA
"86","47.0976528175668","340.364560858554","679.258880230694","4.71749655955061","0.112880405720857","98.3963987838394","4.16415393037071","265.600328782976","771.461383616647","7.04639108863","0.149489724723512","0.104356431341232","Full","23909013","836106",NA,NA
"87","46.5858238181439","340.567717431468","679.638868838071","4.79476997438371","0.112745767763658","98.4236778387777","4.17003882943888","265.733009554869","771.456892810061","7.07316630488569","0.149511394909787","0.104356573937987","Full","23909013","836106",NA,NA
"88","46.0793157725276","340.76609723072","680.003711378002","4.87424606930306","0.11261763246932","98.4439882306292","4.17589991654456","265.864422137546","771.454241394637","7.10080281411725","0.149532972171896","0.10435672441923","Full","23909013","836106",NA,NA
"89","45.5780692348595","340.959607327365","680.353285768304","4.95594971938352","0.112496040951471","98.4572494147515","4.18166341482095","265.994452154816","771.453470507628","7.12925816895485","0.149554450928192","0.104356882745623","Full","23909013","836106",NA,NA
"90","45.0820255856309","341.148154614568","680.687469131465","5.03990635682713","0.112381036305515","98.4633827277626","4.18725427124567","266.122985841982","771.454618003834","7.15848800978891","0.149575825496295","0.104357048875773","Full","23909013","836106",NA,NA
"91","44.5911270294269","341.331645896793","681.00613798763","5.12614189545888","0.112272663829152","98.4623116849805","4.19259632461927","266.249910184522","771.457718371217","7.18844603065018","0.149597090093232","0.104357222766205","Full","23909013","836106",NA,NA
